,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
220,32.7,18,21,3.4,17.81,2.09,0.175,1.914,1.95,28.26,75.19
221,34.8,23,8,1.18,6.35,0.0,0.0,0.0,1.16,27.63,67.89
222,39.7,23,16,1.82,14.25,2.057,0.112,1.945,2.19,27.93,74.42
223,29.4,24,14,2.11,11.53,0.0,0.0,0.0,2.29,27.18,69.25
224,39.1,21,15,1.82,13.06,2.061,0.117,1.944,1.81,27.85,73.26
225,30.4,22,18,2.73,15.23,2.143,0.176,1.967,1.66,28.7,70.67
226,35.3,24,9,1.5,7.64,0.0,0.0,0.0,1.23,24.82,72.08
227,30.2,26,21,3.24,17.61,2.165,0.191,1.974,1.64,25.96,68.23
228,37.7,21,12,1.83,10.49,2.064,0.08,1.984,2.3,25.71,72.33
229,31.4,23,18,2.96,15.19,2.254,0.163,2.09,1.9,24.86,74.65
230,36.3,23,19,2.99,15.76,2.087,0.143,1.945,1.9,25.08,70.11
231,31.5,29,15,2.34,13.05,0.0,0.0,0.0,2.36,24.06,68.61
232,40.1,28,16,1.29,15.03,2.099,0.128,1.971,2.11,25.43,70.51
233,35.4,29,18,3.45,14.26,2.056,0.158,1.898,2.02,25.3,68.05
234,39.7,24,15,1.85,13.63,2.023,0.126,1.897,2.13,25.34,70.16
235,34.4,26,20,2.71,17.36,2.077,0.137,1.939,1.62,25.39,68.72
236,34.3,24,23,3.98,19.34,2.151,0.211,1.94,1.14,25.86,71.05
237,31.1,23,24,3.95,20.03,2.062,0.154,1.909,1.92,25.5,72.65
238,35.3,38,29,4.16,24.49,2.294,0.276,2.018,1.24,23.98,69.72
239,31.9,46,21,2.89,18.2,0.0,0.0,0.0,2.48,21.52,67.98
240,36.0,40,25,3.52,21.49,2.164,0.201,1.963,2.12,22.48,69.95
241,34.8,43,26,3.14,22.86,2.228,0.193,2.035,1.76,23.07,67.59
242,41.1,40,20,2.01,18.01,2.228,0.176,2.052,2.42,22.91,70.4
243,32.8,33,23,2.98,20.01,2.32,0.2,2.12,2.02,22.63,72.55
244,40.7,37,20,2.1,18.15,2.135,0.169,1.966,2.4,22.81,69.3
245,33.8,41,31,4.33,26.9,2.184,0.212,1.972,2.0,23.27,70.68
246,39.1,29,18,2.17,16.13,2.157,0.12,2.037,2.5,23.69,70.93
247,36.2,43,23,3.51,19.07,2.127,0.2,1.927,2.19,22.54,67.89
248,41.0,36,12,1.53,10.93,0.0,0.0,0.0,1.3,22.8,70.5
249,29.7,37,26,3.48,22.29,2.286,0.241,2.045,1.65,23.48,67.47
250,26.8,46,23,3.56,19.32,0.0,0.0,0.0,2.42,18.85,67.9
251,27.9,43,29,4.88,24.29,2.234,0.222,2.012,2.19,19.85,68.67
252,27.7,35,26,3.6,22.49,2.293,0.209,2.085,2.03,20.33,70.16
253,23.8,40,29,4.31,24.38,2.308,0.268,2.04,1.58,20.94,66.14
