NO,Gender,Bornyear,Race,Player,Sportyear,Bestpride,Income,PrantEdu,PersonalEdu,WantJob,SS01,SS02,SS03,SS04,SS05,SS06,SS07,SS08,SS09,SS10,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,CB01,CB02,CB03,CB04,CB05,CB06,CB07,CB08,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10
10264,male,82,1,0,6,2,1,2,2,1,1,2,4,1,4,3,4,3,4,4,4,4,3,3,4,2,1,1,2,2,3,3,2,2,4,4,4,5,3,3,2,2,2,2,2,2,2,2
10265,female,80,1,0,7,2,1,2,2,0,2,3,3,4,5,4,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,5,3,3,3,3,3,3,3,3,3,3
10266,female,82,,0,6,2,1,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2
10267,female,81,1,0,10,2,1,3,2,0,3,4,3,2,4,3,4,4,4,3,3,4,4,4,5,4,4,4,4,4,3,3,2,3,4,4,4,4,3,3,3,3,4,4,3,3,3,3
10268,female,81,3,0,5,3,2,3,3,1,5,3,3,4,3,3,3,3,2,2,3,2,3,3,2,2,3,3,2,2,4,4,4,3,3,4,3,5,4,4,4,4,5,4,3,3,3,4
10269,female,82,1,0,5,2,3,99,4,0,3,3,4,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,4,3,3,4,3,3,3,3,4,3,3,2,3,2
10270,female,82,1,0,5,2,1,3,4,1,2,3,4,4,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
10271,male,82,1,0,5,2,1,3,2,1,3,3,3,3,4,4,4,4,3,3,3,3,3,3,4,4,3,3,3,4,3,3,2,4,3,5,5,5,5,5,5,5,5,3,4,3,3,2
10272,male,82,3,0,3,3,2,2,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4
10273,male,81,1,0,6,2,3,5,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
10274,male,81,1,1,7,1,3,3,4,1,4,4,5,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,4,4,4,5,5,5,4,4,4,4,4,4,5,4
10275,male,81,1,0,6,3,2,5,4,1,2,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,3,5,3,3,4,4,4,4,5,5,4,5,4,4,4,4,4,4,4,4,5,5
10276,male,82,1,0,5,2,2,4,2,1,2,4,4,3,4,4,4,4,4,3,3,4,3,3,4,4,3,4,4,3,3,3,3,4,3,4,2,4,2,3,3,3,4,3,2,2,2,3
10277,male,81,1,0,4,2,2,4,2,0,4,3,4,3,4,3,3,3,4,4,4,3,4,4,3,4,3,3,3,3,4,3,3,4,3,4,4,4,3,4,3,3,3,4,4,3,3,4
10278,male,81,1,0,6,2,2,3,3,0,2,2,3,2,5,5,5,5,5,3,4,4,4,4,4,4,2,4,4,4,4,4,4,2,5,5,4,4,4,4,2,4,4,2,2,4,2,4
10279,male,82,1,0,7,2,2,4,3,0,4,5,5,3,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4
10280,male,81,1,0,9,3,1,3,2,0,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10281,male,80,1,0,10,2,1,5,4,0,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,4,4,2,5,3,4,4,3,4,4,3,3,4,3
10282,male,82,1,0,9,3,2,3,2,1,3,4,4,3,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,3,3,3,4,3,5,3,5,5,4,4,4,4,4,3,3,3,4
10283,male,82,3,0,11,2,2,3,2,0,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10284,male,82,3,0,9,2,1,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4
10285,male,82,3,0,11,3,1,3,2,1,3,5,5,4,5,4,5,3,5,5,5,5,4,4,5,4,4,3,3,3,4,4,5,3,4,4,3,5,4,3,4,4,4,3,3,3,4,4
10286,male,80,3,0,5,2,1,2,1,0,3,4,4,3,4,3,3,2,4,4,3,5,3,4,3,4,4,3,4,5,4,4,3,3,4,4,4,5,4,3,3,3,4,4,2,3,4,4
10287,male,81,1,0,9,2,1,2,2,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,4,3,3,3,4,3,4,4,4,4
10288,male,81,1,0,5,3,1,2,2,1,4,5,5,4,5,5,5,5,5,5,4,5,4,4,4,5,4,4,4,4,4,5,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4
10289,male,82,1,0,5,2,2,3,2,1,2,4,3,4,5,5,5,5,5,5,3,5,4,4,5,4,4,5,5,5,4,4,3,4,4,4,4,4,5,5,3,5,5,4,4,4,3,3
10290,male,81,1,0,4,1,2,2,2,0,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
10291,male,82,1,0,12,2,1,3,2,0,2,3,3,2,4,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10292,male,82,1,0,3,3,1,1,2,1,3,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3
10293,male,82,3,0,12,2,2,3,2,0,5,3,3,3,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4
10294,male,82,1,0,6,2,1,2,2,1,3,4,4,4,5,5,5,5,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,5,5,4,4,4,4,4,4,4,3,4,4,4,4
10295,male,81,1,0,9,2,1,3,2,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10296,male,82,2,0,8,1,1,3,2,0,1,5,5,5,5,5,5,5,3,3,3,5,3,5,5,5,2,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10297,male,82,2,0,6,3,2,3,2,1,4,4,4,4,2,2,2,2,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,2,3,4,3,4,4,4,3,3,3,3,3,3,3,4
10298,female,82,2,1,5,1,2,3,2,1,4,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,3,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4
10299,male,82,2,0,10,1,3,6,4,1,5,5,5,5,5,5,5,5,5,5,5,5,2,2,4,2,1,4,2,3,4,4,4,4,4,5,4,3,5,4,4,4,4,4,3,4,4,4
10300,male,82,2,0,6,2,1,3,2,1,3,5,5,3,4,4,4,4,5,4,4,5,4,4,3,5,3,5,5,4,3,4,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3
10301,male,82,2,0,10,2,1,4,2,1,3,4,4,3,5,3,4,4,5,5,5,5,4,5,4,4,4,4,4,4,3,3,3,3,3,4,1,4,5,4,4,4,4,3,2,3,2,3
10302,male,82,2,0,10,1,2,3,4,1,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,3,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4
10303,male,81,2,0,6,3,2,3,4,0,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,3,3,4,3,4,4,4,3,4,4,3,4,4,3
10304,male,81,1,0,4,3,2,3,2,0,3,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,3,3,3,3,3,4,4,4,4,4,5,4,4,4,3,3,4,4,3,3
10305,male,82,1,0,,3,2,3,2,1,2,4,5,3,1,1,1,1,4,1,1,4,4,4,4,4,1,1,1,1,2,2,1,2,2,3,2,4,4,4,4,4,4,4,4,4,4,4
10306,male,81,1,0,3,2,2,4,1,1,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10307,male,81,2,0,5,1,1,3,2,1,3,3,3,3,5,5,5,5,3,3,3,3,5,5,5,5,1,5,1,1,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,4,4,4
